"Measure","Ethnicity","Ethnicity_type","Time","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","65-74","All","Fairly active","13.6","%","20312","2757","0.141","0.131","31611"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","75+","All","Fairly active","13.3","%","16126","2137","0.139","0.126","16355"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 1-2","Fairly active","11.9","%","49941","5965","0.123","0.116","73114"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 3-5","Fairly active","13.3","%","34051","4525","0.138","0.128","35869"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 6-7","Fairly active","12.6","%","19369","2443","0.134","0.119","13861"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 8","Fairly active","12.5","%","4312","538","0.143","0.108","2341"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 9","Fairly active","8.5","%","14467","1226","0.093","0.077","8445"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16+","All","Physically active","63.6","%","138267","87928","0.639","0.632","149985"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-24","All","Physically active","78.1","%","16302","12733","0.793","0.769","8061"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","25-34","All","Physically active","71.9","%","19990","14370","0.728","0.709","16470"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","35-44","All","Physically active","70.2","%","18567","13031","0.711","0.693","20286"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","45-54","All","Physically active","67.5","%","24153","16308","0.683","0.667","25703"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","55-64","All","Physically active","61.7","%","21981","13555","0.625","0.609","30672"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","65-74","All","Physically active","58.1","%","20312","11811","0.589","0.574","31611"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","75+","All","Physically active","35.8","%","16126","5768","0.367","0.349","16355"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 1-2","Physically active","73","%","49941","36459","0.734","0.726","73114"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 3-5","Physically active","63.9","%","34051","21773","0.646","0.633","35869"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 6-7","Physically active","56.6","%","19369","10969","0.578","0.555","13861"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 8","Physically active","50.9","%","4312","2197","0.537","0.482","2341"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 9","Physically active","74.4","%","14467","10762","0.756","0.731","8445"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16+","All","Physically inactive","24.2","%","138267","33505","0.245","0.239","149985"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-24","All","Physically inactive","13.4","%","16302","2190","0.144","0.125","8061"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","25-34","All","Physically inactive","16.9","%","19990","3370","0.177","0.161","16470"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","35-44","All","Physically inactive","17.3","%","18567","3215","0.181","0.166","20286"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","45-54","All","Physically inactive","20","%","24153","4823","0.207","0.193","25703"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","55-64","All","Physically inactive","25.2","%","21981","5545","0.259","0.245","30672"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","65-74","All","Physically inactive","28.3","%","20312","5744","0.289","0.276","31611"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","75+","All","Physically inactive","51","%","16126","8220","0.519","0.5","16355"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 1-2","Physically inactive","15.1","%","49941","7517","0.154","0.147","73114"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 3-5","Physically inactive","22.8","%","34051","7754","0.234","0.222","35869"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 6-7","Physically inactive","30.8","%","19369","5957","0.318","0.297","13861"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 8","Physically inactive","36.6","%","4312","1578","0.392","0.34","2341"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 9","Physically inactive","17.1","%","14467","2480","0.182","0.161","8445"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Female","16+","All","Fairly active","13.2","%","71188","9368","0.135","0.128","83073"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Female","16+","All","Physically active","61.7","%","71188","43932","0.622","0.612","83073"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Female","16+","All","Physically inactive","25.1","%","71188","17888","0.255","0.247","83073"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Male","16+","All","Fairly active","11.1","%","66851","7439","0.115","0.108","66703"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Male","16+","All","Physically active","65.7","%","66851","43922","0.662","0.652","66703"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Male","16+","All","Physically inactive","23.2","%","66851","15491","0.236","0.227","66703"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Other gender","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Other gender","16+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Other gender","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16+","All","Fairly active","11.1","%","10834","1207","0.121","0.103","9671"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-24","All","Fairly active","6.6","%","1348","89","0.094","0.046","595"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","25-34","All","Fairly active","11","%","3491","383","0.128","0.093","2403"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","35-44","All","Fairly active","12","%","2745","328","0.137","0.104","2802"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","45-54","All","Fairly active","11.4","%","1388","158","0.137","0.094","1555"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","55-64","All","Fairly active","10.7","%","788","85","0.136","0.084","1056"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","65-74","All","Fairly active","13.5","%","624","84","0.171","0.105","860"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","75+","All","Fairly active","18.8","%","400","75","0.249","0.14","357"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 1-2","Fairly active","11","%","4306","475","0.123","0.099","5525"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 3-5","Fairly active","11.4","%","2494","284","0.134","0.096","1964"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 6-7","Fairly active","11.6","%","1853","216","0.144","0.093","960"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 8","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 9","Fairly active","8.8","%","1546","136","0.115","0.066","727"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16+","All","Physically active","66.8","%","10834","7233","0.682","0.654","9671"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-24","All","Physically active","79.2","%","1348","1068","0.83","0.749","595"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","25-34","All","Physically active","68.3","%","3491","2385","0.71","0.655","2403"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","35-44","All","Physically active","64.8","%","2745","1778","0.673","0.622","2802"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","45-54","All","Physically active","66.8","%","1388","927","0.701","0.633","1555"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","55-64","All","Physically active","66.9","%","788","527","0.71","0.625","1056"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","65-74","All","Physically active","58.9","%","624","367","0.632","0.545","860"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","75+","All","Physically active","39.6","%","400","158","0.461","0.333","357"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 1-2","Physically active","72.9","%","4306","3137","0.744","0.712","5525"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 3-5","Physically active","64.5","%","2494","1609","0.674","0.615","1964"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 6-7","Physically active","55.3","%","1853","1024","0.595","0.509","960"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 8","Physically active","66.2","%","233","154","0.759","0.548","138"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 9","Physically active","74.4","%","1546","1150","0.783","0.7","727"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16+","All","Physically inactive","22.1","%","10834","2394","0.234","0.209","9671"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-24","All","Physically inactive","14.2","%","1348","191","0.18","0.111","595"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","25-34","All","Physically inactive","20.7","%","3491","723","0.233","0.184","2403"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","35-44","All","Physically inactive","23.2","%","2745","638","0.257","0.21","2802"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","45-54","All","Physically inactive","21.8","%","1388","303","0.251","0.189","1555"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","55-64","All","Physically inactive","22.4","%","788","176","0.265","0.187","1056"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","65-74","All","Physically inactive","27.6","%","624","172","0.318","0.239","860"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","75+","All","Physically inactive","41.6","%","400","167","0.487","0.348","357"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 1-2","Physically inactive","16.1","%","4306","694","0.175","0.149","5525"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 3-5","Physically inactive","24.1","%","2494","602","0.269","0.216","1964"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 6-7","Physically inactive","33.1","%","1853","614","0.374","0.291","960"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 8","Physically inactive","24.9","%","233","58","0.351","0.169","138"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 9","Physically inactive","16.8","%","1546","260","0.208","0.135","727"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Female","16+","All","Fairly active","12.1","%","5461","663","0.134","0.11","5739"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Female","16+","All","Physically active","66.4","%","5461","3628","0.682","0.647","5739"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Female","16+","All","Physically inactive","21.4","%","5461","1169","0.23","0.199","5739"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Male","16+","All","Fairly active","10.1","%","5348","540","0.115","0.089","3916"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Male","16+","All","Physically active","67.2","%","5348","3595","0.694","0.65","3916"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Male","16+","All","Physically inactive","22.7","%","5348","1213","0.247","0.207","3916"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Other gender","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Other gender","16+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Other gender","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16+","All","Fairly active","13","%","2029","264","0.16","0.106","1275"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-24","All","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","25-34","All","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","35-44","All","Fairly active","19.3","%","468","90","0.267","0.136","344"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","45-54","All","Fairly active","11.9","%","346","41","0.181","0.077","259"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","55-64","All","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","65-74","All","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","75+","All","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 1-2","Fairly active","11.9","%","606","72","0.158","0.089","620"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 3-5","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 6-7","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 8","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 9","Fairly active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16+","All","Physically active","56.4","%","2029","1145","0.603","0.525","1275"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-24","All","Physically active","70","%","384","269","0.792","0.589","113"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","25-34","All","Physically active","58.1","%","406","236","0.669","0.488","214"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","35-44","All","Physically active","53.1","%","468","248","0.603","0.458","344"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","45-54","All","Physically active","60","%","346","207","0.678","0.516","259"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","55-64","All","Physically active","52","%","204","106","0.617","0.421","176"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","65-74","All","Physically active","51.8","%","117","60","0.629","0.406","118"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","75+","All","Physically active","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 1-2","Physically active","62.6","%","606","379","0.675","0.574","620"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 3-5","Physically active","57.6","%","363","209","0.664","0.483","221"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 6-7","Physically active","53.5","%","275","147","0.644","0.422","129"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 8","Physically active","45.7","%","204","93","0.594","0.325","90"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 9","Physically active","59.5","%","507","302","0.686","0.498","177"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16+","All","Physically inactive","30.5","%","2029","620","0.343","0.271","1275"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-24","All","Physically inactive","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","25-34","All","Physically inactive","27.9","%","406","113","0.364","0.208","214"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","35-44","All","Physically inactive","27.6","%","468","129","0.347","0.215","344"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","45-54","All","Physically inactive","28.1","%","346","97","0.358","0.215","259"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","55-64","All","Physically inactive","38.3","%","204","78","0.488","0.287","176"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","65-74","All","Physically inactive","35.7","%","117","42","0.472","0.257","118"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","75+","All","Physically inactive","?","%","?","?","?","?","?"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 1-2","Physically inactive","25.5","%","606","154","0.302","0.212","620"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 3-5","Physically inactive","31.5","%","363","114","0.405","0.236","221"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 6-7","Physically inactive","30.8","%","275","85","0.417","0.216","129"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 8","Physically inactive","40.2","%","204","82","0.533","0.284","90"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","All","16-74","NS SEC 9","Physically inactive","24.8","%","507","126","0.341","0.174","177"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Female","16+","All","Fairly active","11.9","%","1085","129","0.156","0.089","746"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Female","16+","All","Physically active","55.3","%","1085","600","0.603","0.501","746"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Female","16+","All","Physically inactive","32.8","%","1085","356","0.379","0.282","746"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Male","16+","All","Fairly active","14.5","%","938","136","0.194","0.106","527"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Male","16+","All","Physically active","57.5","%","938","539","0.634","0.514","527"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Male","16+","All","Physically inactive","28.1","%","938","263","0.338","0.23","527"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Other gender","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2017 to Nov 2018","England","Country","Other gender","16+","All","Physically active","*","%","*","*","*","*","*"
